DocNumber,Reference,Cited
7201580,"OnTrack-ATM.Net: Frequently Asked Questions (FAQs), DKSystems, http://web.archive.org/web/19980203180950/www.dksystems.com/ps-ot-atmnet-- faqs.html, downloaded Oct. 24, 2004, p. 1-7. ",cited by other .
7201580,"About Us -Our clients: DKSystems, http://web.archive.org/web/19980203182809/www.dksystems.com/tour-about-cl- ient.html, downloaded Oct. 24, 2004, p. 1-2. ",cited by other .
7201580,"DKSystems announces OnTrack for Training API--Allows real-time integration of CBT software with OnTrack for Training By Dksystems, Sep. 26, 1997, pp. 1-2. ",cited by other .
7201580,"Technical Support: OnTrack for Training Service Pack: SP-02/98, DKSystems, http://web.archive.org/web/199802031853622/www.dksystems.com/supt-technic- al-svcpac . . . , downloaded Oct. 24, 2004, p. 1-4. ",cited by other .
7201580,"Technical Support: Glossary, DKSystems, http://web.archive.org/web/19980203182331/www.dksystems.com/supt-technica- l-glossar . . . , downloaded Oct. 24, 2004, 31 pages. ",cited by other .
7201580,"Consulting: About DKConsulting services, DKSystems, http://web/19980203183527/www.dksystems.com/ps-pr-cs.html, downloaded Oct. 24, 2004, p. 1-2. ",cited by other .
7201580,"An evaluation of Computer managed instruction in navy technical training,Carson et al., Navy Personnel Research and Development Center, Jun. 1975, pp. v-x, 1-67, 70-81. ",cited by other .
7201580,"Integrated system test of the advanced instructional system, Larry M. Lintz, Air Force Human Resources Laboratory, Dec. 1979, pp. 1-103. ",cited by other .
7201580,"Computer-managed instruction in the navy: I. Research background and status, By Nick Van Matre, Navy Personnel Research and Development Center, Sep. 1980, (p. iii, v, vii, 1-12, A0-A5). ",cited by other .
7201580,"Ingenium, Skill-Driven Training Management Software, Meliora Systems, Inc., last updated Mar. 1, 1997, http://www.eduworks.com/victor/PICs_Final/Documentation/Ingenium/ingeniu . . . , downloaded Feb. 18, 2005, pp. 1-3. ",cited by other .
7201580,"Ingenium press release, Meliora Systems Inc., Dec. 20, 1996, pp. 1-4. ",cited by other .
7201580,"Ingenium Training, Meliora Systems, Inc., last updated Sep. 12, 1997, http://www.eduworks.com/victor/PICs_Final/Documentation/Ingenium/Ingenium Oct. 3 . . . , downloaded Mar. 25, 2005, pp. 1-2. ",cited by other .
7201580,"Ingenium: A family of skill-driven training management products. 1997-1998, http://www.eduworks.com/victor/PICs_Final/Documentation/Ingenium/Ingenium- .sub.3_Oct._. . . , downloaded Mar. 25, 2005, pp. 1-6. ",cited by other .
7201580,"Frequently asked questions about the product, Meliora Systems, Inc., last updated Sep. 10, 1997, http://www.eduworks.com/victor/PICS_Final/Documentation/Ingenium/Ingenium- _3 _Oct._. . . , downloaded Mar. 25, 2005, pp. 1-3. ",cited by other .
7201580,"Technical Specifications, Meliora Systems, Inc., last updated Sep. 10, 1997, http://www.eduworks.com/victor/PICS_Final/Documentation/Ingenium/In- genium_3_Oct. _. . . , downloaded Mar. 25, 2005, pp. 1-3. ",cited by other .
7201580,"Ingenium 3.0 Features and Functionally, Meliora Systems, Inc., last updated Sep. 5, 1997, http://www.eduworks.com/victor/PICS_Final/Documentation/Ingenium/Ingenium- _3_Oct._. . . , downloaded Mar. 25, 2005, pp. 1-2. ",cited by other .
7201580,"Announcing Ingenium Messenger! last modified Mar. 1, 1997. Meliora Systems, http://www.eduworks.com/victor/PICs_Final/Documentation/Ingenium- /Ingenium_page_A . . . , downloaded Mar. 25, 2005, pp. 1-2. ",cited by other .
7201580,"Ingenium client/server, http://www.eduworks.com/victor/PICs_Final/Documentation/Ingenium/Ingenium- _3_Oct._downloaded Mar. 25, 2005, p.1. ",cited by other .
7201580,"New software uses latest technology popularity of the Web to take the `trauma` out of training management, Meliora Systems, http://www.eduworks.com/victor/PICs_Final/Documentation/Ingenium/Ingenium- .sub.-3.sub.-Oct._. . . , downloaded Mar. 25, 2005, pp. 1-3. ",cited by other .
7201580,"Ingenium Web connect technical requirements, http://www.eduworks.com/victor/PICs_Final/Documentation/Ingenium/Ingenium- _3_Oct._. . . , downloaded Mar. 25, 2005, pp. 1. ",cited by other .
7201580,"New product, http://www.eduworks.com/victor/PICs.sub.-Final/Documentation/Ingenium/Ing- enium_3_Oct._. . . , downloaded Mar. 25, 2005, p. 1. ",cited by other .
7201580,"Phoenix product overview & quick reference guide, Legent, 6 pages (3rd page has copyright date 1993). ",cited by other .
7201580,"Phoenix for Windows, Pathlore Software Corp, copyright 1996, http://www.eduworks.com/victor/PICs_Final/Documentation/Pathlore_Jul._199- 7/Phoenix. . ., downloaded Feb. 17, 2005, pp. 1-3. ",cited by other .
7201580,"Pathlore release Phoenix Internet and Intranet, Pathlore Software Corporation, Feb. 10, 1997. ",cited by other .
7201580,"Human resources management systems: strategies, tactics and techniques, Ceriello et al., Copyright 1991. ",cited by other .
7201580,"Automate HR Tasks, Training & Development , Oct. 1996, pp. 71-72. ",cited by other .
7201580,"The world's most advanced training management software, Syscom, Inc., copyright 1997, http://www.eduworks.com/victor/PICs_Final /Documentation/TrainingServer_Jul._1007/ts. . ., downloaded Feb. 17, 2005, pp. .1-2. ",cited by other .
7201580,"Quick Tour, Syscom, Inc., copyright 1997, http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/to. . ., downloaded Feb. 17, 2005, pp. 1-2. ",cited by other .
7201580,"Customer support, http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/s. . ., downloaded Feb. 17, 2005, pp. 1-2. ",cited by other .
7201580,"Success Stories, http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/s. . ., downloaded Feb. 17, 2005, pp. 1-4. ",cited by other .
7201580,"Technical Specifications, http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/te. . ., downloaded Feb. 17, 2005. ",cited by other .
7201580,"Comprehensive features, Syscom, Inc., copyright 1997 http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/fe. . ., downloaded Feb. 17, 2005, pp. 1-2. ",cited by other .
7201580,"Overview & Brochure, http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/b. . ., downloaded Feb. 17, 2005, pp. 1-2. ",cited by other .
7201580,"Universal Self-Service Access, Syscom, Inc., copyright, 1997, http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/T. . ., downloaded Feb. 17, 2005, pp. 1-2. ",cited by other .
7201580,"TrainingServer, http://www.eduworks.com/victor/PICs_Final/Documemtation/TrainingServer_Ju- l._1997/te. . ., downloaded Feb. 17, 2005, p. 1-3. ",cited by other .
7201580,"TrainingServer-[employee detail], http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/self-scr.gif, downloaded Feb. 17, 2005, p. 1. ",cited by other .
7201580,"TrainingServer-[Administrative Documents], http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/doc-scr.gif, downloaded Feb. 17, 2005, p. 1. ",cited by other .
7201580,"TrainingServer-[Employee Internal Transcripts], http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/trans-scr.gif, downloaded Feb. 17, 2005, p. 1. ",cited by other .
7201580,"TrainingServer-[Employee Skills], http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/skil-scr.gif, downloaded Feb. 17, 2005, p. 1. ",cited by other .
7201580,"TrainingServer-[Employee Job Qualifications/Gap Analysis], http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/gap-scr.gif, downloaded Feb. 17, 2005, p. 1. ",cited by other .
7201580,"Event Director -[Schedule of Classes], http://www.edworks.com/victor/PICs_Final/Documentation/TrainingServer_Jul- ._1997/sch-scr.gif, downloaded Feb. 17, 2005, p. 1. ",cited by other .
7201580,"Training Architect -[Course Catalog], http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/cat-scr.gif, downloaded Feb. 17, 2005, p.1. ",cited by other .
7201580,"Partner Directory, http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/p. . . , downloaded Feb. 17, 2005, p. 1. ",cited by other .
7201580,"Forum Business Overview, http://www.eduworks.com/victor/PICs_Final/Documentation/TrainingServer_Ju- l._1997/f. . . , downloaded Feb. 17, 2005, pp. 1-3. ",cited by other .
7201580,"Computerized adaptive testing: a primer, Howard Wainer, Lawrence Erlbaum Associates, Publishers, 1990. ",cited by other .
7201580,"From computer-assisted instruction to intelligent tutoring systems, Norman Livergood, JL of Artificial intelligence in education, vol. 2(3) Spring 1991, pp. 39-50. ",cited by other .
7201580,"Question Mark Professional User Manual, Question Mark Computing Ltd., 1993, pp. Title page, i-vii, 1-75 (section 1 to 5.8.3), 149-277 (section 6 to 10.5), 149-183 (section 8 to 9.3), 209-240 (section 10 to 11.2.3), 264-324 (section 12 to appendix B4), 311-346 (appendix C to end of index). ",cited by other .
7201580,"Computer aided instruction for statistics: A knowledge-based systems approach, Prabhu et al., IJCAET vol. 5 No. 1 1995, pp. 3-14. ",cited by other .
7201580,"Cliffs StudyWare, copyright 1993. ",cited by other .
7201580,"Scholar/Teach 3, Version 3.1, Users Guide for the IBM-PC, Boeing Computer Services, 1986. (plus 5 pages at the front). ",cited by other .
7201580,"Telematic applications project TE2003: CoopWWW, Interoperable Tools for Cooperation support using the World Wide Web, Project Intelligence Report; pp. 1-31; by Mattias Hallstrom, Jul./Aug. 1997. ",cited by other .
7201580,"CyberProf -An intelligent human-computer interface for interactive instruction on the World Wide Web; JALN vol. 1, Issue 2; pp. 20-37; by Raineri et al, Aug. 1997. ",cited by other .
7201580,"Plug-in for more active online learning; Multimedia Schools; vol. 4, Issue 3; pp. 1-8; by Tuttle, Harry G., May/Jun. 1997. ",cited by other .
7201580,"Internet relay chat protocol; Network Working Group, Request for comments: 1459; pp. 1-65; by Oikarinen et al, May 1993. ",cited by other .
7201580,"Computer aided learning and instruction in science and engineering; Third International Conference, CALISCE '96; Lecture Notes in Computer Science 1108; cover sheet, pp. I-XIV, pp. 1-480, 3 pages at the end; by Sanchez et al, Jul. 29-31, 1996. ",cited by other .
7201580,"NAEP Validity studies: feasibility studies of two-stage testing in large-scale educational assessment: Implications for NAEP; National center for education statistics, working paper No. 2003-14; U.S. Department of Education, Institute of Education Sciences; 7 introductory pages, pp. 1-52, and 17 pages of listing; by Bohrnstedt et al, Apr. 2003. ",cited by other .
7201580,"SunTotal Systems, Inc.'s notice of motion and motion for summary judgement of invalidity 2005. ",cited by other .
7201580,Declaration of A. James Federico 2005. ,cited by other .
7201580,"Ingenium 1.0 (Exhibit A) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Ingenium 2.0 (Exhibit B) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Click2Learn, Inc. Form 10-K for the year ending Dec. 31, 2002 (Exhibit C) 2003. ",cited by other .
7201580,"What is Mellora? (Exhibit D) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Ingenium for Windows, the Intelligent Training Management Software (Exhibit E) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Annoucing Ingenium Messenger. (Exhibit F) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Ingenium 3.0 Pricing. (Exhibit G) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Messenger features and Functionality from Meliora Systems website (Exhibit H) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,IPL Disclosure of Asserted Claims and Preliminary Infringement Contentions (Exhibit I) 2004. ,cited by other .
7201580,IPL Supplemental Disclosure of Asserted Claims and Preliminary Infringement Contentions 2004. ,cited by other .
7201580,Joint Claim Construction and Pre-Hearing Statement per Patent L.R. 4-3 (Exhibit K) 2004. ,cited by other .
7201580,"New Features for Ingenium 2.0 (Exhibit L.) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Ingenium for Windows v. 1.0 Order Form (Exhibit M) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Ingenium v. 2.0 Pricing (Exhibit N) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Ingenium for Windows Standard Software Support Program Renewal Agreement (Exhibit O) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Thomson NETg -History and CBT Systems Definition (Exhibit P) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,Uncertified rough draft deposition transcript of William Horton (Exhibit Q) 2005. ,cited by other .
7201580,"Ingenium In-House Training Class Attendance (Exhibit R) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Developing Corporate Talent!: New Technologies and Best Practices (Exhibit S) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Ingenium for Windows, Customer List (Exhibit T) Allegedly before Jul. 6, 1997. ",cited by other .
7201580,"Release 3.0 Pricing, Meliora Systems, http://www.eduworks.com/victor/PICs_Final/Documentation/Ingenium/Ingenium- .sub.3 _Oct._. . . , downloaded Mar. 25, 2005, 2 pages. ",cited by other .
7201580,"The Ingenium Informer, Meliora Systems, The Intelligent Training Management Newsletter, vol. II, No. 2, Spring 1995. ",cited by other .
7201580,"Teaching through case-based reasoning: an ITS engine applied to business communication, Papagni et al. Proceedings of AI-ED 97 World Conference on Artifical Intelligence in Education, 1997, p. 111-118. ",cited by other.
